,pop,phage,immune,vulnerable,richness,phageRichness,pS,b,a,c,beta,adsp,d,m,l,popinit,phageinit
0,4442272.028910888,0.0,4442272.028910888,0.0,11.0,7.0,1e-06,1.5,10000000.0,0.03718186473927403,186.0,2.9867270207272045e-08,0.1950982691760695,1.475777972004754e-09,0.9,2143406.4695127835,2056194.916734632
1,3785461.0972987083,0.0,3785461.0972987083,0.0,7.0,2.0,1e-06,1.5,10000000.0,0.08096926018008613,79.0,7.243472330115406e-09,0.03785338038381479,6.748449153785821e-09,0.9,1588198.8765907942,1211376.4954947203
2,4955742.242712568,0.0,4149351.614886457,806365.4158123347,19.0,33.0,1e-06,1.5,10000000.0,0.0035198559790763813,146.0,1.1700044293549252e-09,0.18484407123237948,2.9253557173747788e-08,0.9,1506182.7236052705,418467.4848964592
3,4687102.401379611,0.0,4687102.401379611,0.0,12.0,89.0,1e-06,1.5,10000000.0,0.020859839908025618,103.0,1.0354285469509227e-08,0.025355846443445008,1.3219262153368907e-07,0.9,3174006.1093963217,2220501.4812569446
4,4981704.45001224,0.0,4981704.45001224,0.0,7.0,28.0,1e-06,1.5,10000000.0,0.0012197033325156527,119.0,2.940455317028234e-09,0.13723196630479248,3.026569915226679e-08,0.9,2175949.781235682,553786.214834838
5,4971658.032430818,0.0,4971658.032430818,0.0,5.0,23.0,1e-06,1.5,10000000.0,0.0018894645046120544,109.0,2.200506651963942e-08,0.09002940290480611,5.0277675174238106e-08,0.9,1480870.1012644235,5767959.202999577
6,4867763.687986291,0.0,4867763.687986291,0.0,7.0,294.0,1e-06,1.5,10000000.0,0.008815754134247272,133.0,2.7943006752654458e-08,0.030171538983743116,2.9132973929060235e-07,0.9,3737046.0782838473,306798.3810828949
7,4991001.548799909,0.0,488375.3765283698,4502576.741237372,20.0,7.0,1e-06,1.5,10000000.0,0.006063167918150727,75.0,1.9141351266434717e-09,0.17799564658498823,4.7084680882401546e-09,0.9,423077.2681914602,103710.16955958244
8,4767091.420567236,0.0,4767091.420567236,0.0,11.0,10.0,1e-06,1.5,10000000.0,0.015527238628850967,119.0,1.3012763121626986e-08,0.15187538919115215,9.957127811609224e-09,0.9,779176.1315015547,148851.06511117125
9,3617702.7898169267,0.0,3617702.7898169267,0.0,7.0,37.0,1e-06,1.5,10000000.0,0.09215314734553816,182.0,2.878442877405881e-09,0.21712579577033006,2.8793914335948e-08,0.9,792901.1571282046,2269183.1262120306
10,4921229.194459886,0.0,4921229.194459886,0.0,6.0,19.0,1e-06,1.5,10000000.0,0.005251387036007553,163.0,5.630136536602278e-09,0.22782458862004196,1.4339187846765019e-08,0.9,1901336.3948703192,300501.57516732934
11,4952407.132702218,0.0,4952407.132702218,0.0,2.0,45.0,1e-06,1.5,10000000.0,0.003172857819850833,189.0,2.5937680392196508e-08,0.26395444049632116,5.885675060887215e-08,0.9,425312.0989036201,185612.94348797304
12,4250815.771160207,0.0,4250815.771160206,0.0,4.0,17.0,1e-06,1.5,10000000.0,0.049945615255986196,73.0,6.061661258491679e-08,0.11729380097247843,7.109255504972479e-08,0.9,575072.9738324693,2725320.815815449
13,4978411.157800622,0.0,4978411.157800622,0.0,8.0,4.0,1e-06,1.5,10000000.0,0.0014392561466251604,148.0,1.2538923861397373e-09,0.1316336340803064,3.282476597444807e-09,0.9,2278366.99600736,267684.11673073657
14,3757941.827148619,0.0,3757941.827148619,0.0,6.0,262.0,1e-06,1.5,10000000.0,0.08280387819007254,73.0,4.418084850013564e-09,0.11574320499796233,4.258031910853145e-07,0.9,227256.42381384657,572228.4082124664
15,4983570.889563342,0.0,4983570.889563344,0.0,14.0,9.0,1e-06,1.5,10000000.0,0.0010952740291097433,147.0,3.109121438938217e-08,0.04656731178932607,5.4145236214389866e-09,0.9,2668197.8251999333,523885.1177153603
16,4834021.740344804,0.0,4834021.740344804,0.0,9.0,7.0,1e-06,1.5,10000000.0,0.011065217310346386,114.0,4.7956733096332524e-09,0.07103279636192206,6.604048880978183e-09,0.9,153401.7584283343,402491.64965413325
17,3668989.238401858,0.0,3668989.238401858,0.0,8.0,12.0,1e-06,1.5,10000000.0,0.0887340507732094,165.0,1.4834593044796561e-09,0.2544106431423019,1.0116934620756919e-08,0.9,1355322.1655824587,2369447.9888252527
18,4884269.996688507,0.0,4884269.996688507,0.0,11.0,4.0,1e-06,1.5,10000000.0,0.007715333554099636,105.0,5.809258522440653e-09,0.21192296542302608,1.4279823888797666e-08,0.9,246044.61184424025,8601975.84755689
19,4888541.2613199055,0.0,4888541.26131989,0.0,77.0,32.0,1e-06,1.5,10000000.0,0.0074305825786737355,135.0,9.230240446237345e-08,0.24543997836635756,3.0576637680727966e-09,0.9,9144284.105912348,1257796.6896147307
20,4984627.584002818,0.0,4984627.584002818,0.0,6.0,2.0,1e-06,1.5,10000000.0,0.0010248277331454231,155.0,8.30908999614141e-08,0.23519155446550755,5.649932273835688e-09,0.9,617225.5971109715,1029385.0514611906
21,4544382.465900399,0.0,4544382.465900399,0.0,7.0,7.0,1e-06,1.5,10000000.0,0.03037450227330668,83.0,7.626806300565713e-09,0.02295813841205834,5.875523591760044e-09,0.9,103094.60858351737,132009.08037833142
22,4983370.532152131,0.0,4983370.532152131,0.0,4.0,3.0,1e-06,1.5,10000000.0,0.0011086311898579238,119.0,8.090586900028619e-08,0.14168309130745974,2.3238144458477616e-09,0.9,457250.2984357155,518265.52454984013
23,4812959.752067935,0.0,4812959.752067935,0.0,16.0,753.0,1e-06,1.5,10000000.0,0.01246934986213775,165.0,1.6907784158776914e-08,0.2887390940664792,4.277025330194396e-07,0.9,3660805.492586754,119746.85350229265
24,4983300.701335319,0.0,4983300.701335319,0.0,7.0,2.0,1e-06,1.5,10000000.0,0.001113286577645271,61.0,8.087524211370224e-09,0.028336536708502856,1.2280416550650952e-09,0.9,2212992.2107019383,4901772.985140965
25,4287471.555172359,0.0,4287471.555172359,0.0,7.0,5.0,1e-06,1.5,10000000.0,0.04750189632184279,199.0,5.557957161871414e-09,0.21308717011682615,4.925437651476712e-09,0.9,153567.74628753934,1066540.9999384107
26,3662890.9316476914,0.0,3662890.9316476914,0.0,10.0,1.0,1e-06,1.5,10000000.0,0.08914060455682064,55.0,7.861402619979458e-09,0.26710983121914783,1.1331049384594491e-09,0.9,4429318.132202184,161862.0593545036
27,4145519.8836614257,0.0,4145519.8836614257,0.0,5.0,1.0,1e-06,1.5,10000000.0,0.056965341089238244,115.0,2.8535079811140306e-08,0.09649952104291573,1.1376085724934173e-09,0.9,2967229.5330004813,7468567.523741257
28,4733621.636604694,0.0,4733621.636604694,0.0,10.0,63.0,1e-06,1.5,10000000.0,0.01775855755968704,97.0,1.851322485266324e-09,0.10973582420321967,9.80948076231704e-08,0.9,210675.56784395376,1445727.312534402
29,4906523.194425378,0.0,4906523.194425377,0.0,9.0,556.0,1e-06,1.5,10000000.0,0.006231787038307122,178.0,1.1951982617561198e-08,0.08880178930771337,7.357913101151045e-07,0.9,130537.18449751346,1086305.2038039404
30,3701841.2015074203,0.0,3701841.2015074203,0.0,7.0,4.0,1e-06,1.5,10000000.0,0.08654391989950533,145.0,6.919754780562791e-09,0.02867447597860373,3.3566167514630126e-09,0.9,1812648.783910906,4819091.060707017
31,4897677.2469931,0.0,4897677.246993104,0.0,37.0,262.0,1e-06,1.5,10000000.0,0.006821516867101185,186.0,8.218118208896525e-08,0.270290261843054,3.1087559105093266e-08,0.9,2832220.2695248844,6093219.972283956
32,3676117.440677392,0.0,3676117.440677392,0.0,15.0,3.0,1e-06,1.5,10000000.0,0.08825883728817395,55.0,1.208567619077627e-08,0.12139188610044564,1.3562362363032817e-09,0.9,108273.33495345409,114000.5490598233
33,4979270.852284571,0.0,4979270.85228457,0.0,14.0,814.0,1e-06,1.5,10000000.0,0.0013819431806718345,164.0,4.015560555584453e-09,0.03998429216632142,6.424740512754665e-07,0.9,4641757.600642848,8231521.84201549
34,4977644.40387331,0.0,4977644.40387331,0.0,7.0,3.0,1e-06,1.5,10000000.0,0.0014903730751126094,148.0,4.9432418815543175e-09,0.23986920945474602,1.0757804718940891e-09,0.9,6418868.665728632,3541455.9239688064
35,4983734.787037747,0.0,4396653.128193644,587079.3092350165,16.0,15.0,1e-06,1.5,10000000.0,0.0012287827575632028,64.0,2.5112361621843904e-09,0.19489715281126105,2.7002118378311732e-08,0.9,168800.9908634935,1618482.4468445121
36,4534282.4465921465,0.0,4534282.446592146,0.0,17.0,1290.0,1e-06,1.5,10000000.0,0.031047836893825405,112.0,6.527738859765388e-08,0.27597877386147085,5.161241864027892e-07,0.9,4236038.30772734,3096653.304762093
37,4975483.226167482,0.0,4975483.226167478,0.0,29.0,47.0,1e-06,1.5,10000000.0,0.0016344515888346107,184.0,4.4836265135947544e-08,0.28563395961382093,5.065201858946522e-09,0.9,4425111.218116016,6172490.200364101
38,4981601.393829763,0.0,4981601.393829763,0.0,14.0,5.0,1e-06,1.5,10000000.0,0.0012265737446824532,105.0,9.8287967908759e-09,0.2829951440333582,6.675494128778383e-09,0.9,1535494.4047333018,380550.9836415848
39,4814472.287975981,0.0,4814472.287975981,0.0,6.0,330.0,1e-06,1.5,10000000.0,0.012368514134929098,88.0,5.274568389745616e-09,0.24275529900535833,5.001331997222618e-07,0.9,970354.5066661611,2380321.4115437944
40,4898663.625165747,0.0,4898663.625165747,0.0,35.0,63.0,1e-06,1.5,10000000.0,0.006755758322283628,144.0,4.8678659983899266e-08,0.12483953343369264,1.2489899236740839e-08,0.9,5098051.0309786275,7142119.869690497
41,4980060.1581906,0.0,4980060.158190601,0.0,10.0,41.0,1e-06,1.5,10000000.0,0.0013293227872929023,99.0,3.3480252917683405e-09,0.25684707762120035,3.255751757822842e-08,0.9,122034.20891066865,1076142.0586461632
42,4791416.3311444055,2547026.3919386347,4791416.3311444055,0.0,2.0,90.0,1e-06,1.5,10000000.0,0.013905577923706116,112.0,2.3863704044630678e-08,0.0043754963436893,4.742200929512261e-07,0.9,195888.1928336496,3828667.406088133
43,4978466.515928842,0.0,4978466.515928844,0.0,10.0,480.0,1e-06,1.5,10000000.0,0.0014355656047341564,64.0,7.31065108117963e-09,0.02788837783243322,9.94701979864744e-07,0.9,2305166.0986291156,2619083.373626561
44,4939781.876583974,0.0,4939781.876583974,0.0,7.0,19.0,1e-06,1.5,10000000.0,0.004014541561068391,189.0,2.838934490667706e-08,0.025935481483759636,2.2066246173440782e-08,0.9,1506715.6771423463,3977384.5846717367
45,4981148.340930257,0.0,4981148.340930257,0.0,3.0,4.0,1e-06,1.5,10000000.0,0.0012567772713162131,195.0,1.4540334959246842e-08,0.2803709415218384,1.7132020877427544e-09,0.9,429808.71508938115,9053604.795391465
46,4489567.197219071,0.0,4489567.197219071,0.0,12.0,125.0,1e-06,1.5,10000000.0,0.03402885351872824,54.0,1.3699660887268621e-08,0.27128113358453765,2.561539910408606e-07,0.9,9650785.001104204,467085.9188260731
47,4967635.0670014,0.0,4967635.0670014,0.0,7.0,164.0,1e-06,1.5,10000000.0,0.0021576621999066467,160.0,8.46196378001666e-08,0.2991541364874945,1.8256913379373e-07,0.9,633231.7567065941,579409.8923011752
48,3859765.482455939,0.0,3859765.482455939,0.0,18.0,612.0,1e-06,1.5,10000000.0,0.07601563450293734,119.0,7.582388784366825e-08,0.036610693715726596,3.083353683858795e-07,0.9,6074794.479414727,811678.4544481239
49,4845456.370293743,0.0,4845456.370293743,0.0,12.0,13.0,1e-06,1.5,10000000.0,0.010302908647083803,56.0,8.978194274654746e-09,0.10245923968073416,2.3601091308407257e-08,0.9,184068.9176831458,354139.33074267936
50,3886020.2753015505,0.0,3886020.2753015505,0.0,8.0,3.0,1e-06,1.5,10000000.0,0.07426531497989662,165.0,1.6389052734076418e-09,0.16485009708104523,2.6497577333253978e-09,0.9,2569596.124498255,376912.0009466673
51,4768435.5362838125,0.0,4768435.5362838125,0.0,10.0,105.0,1e-06,1.5,10000000.0,0.015437630914412479,157.0,4.565754679125063e-09,0.20945882385156572,8.00639952137303e-08,0.9,2242803.3549768426,2909700.7604819583
52,4841232.796475231,0.0,4841232.796475231,0.0,2.0,1.0,1e-06,1.5,10000000.0,0.010584480234984461,63.0,7.87482749403899e-08,0.03645411051246545,5.43168125838754e-09,0.9,153910.7089216552,1872832.5234317288
53,4899154.846678914,0.0,4899154.8466789145,0.0,9.0,70.0,1e-06,1.5,10000000.0,0.006723010221405322,98.0,9.648721155415646e-09,0.21167511610410275,1.1459759940113725e-07,0.9,2858173.8492830587,1569325.40705096
54,4941279.949958468,263.8658758977271,4941279.949958468,0.0,13.0,28.0,1e-06,1.5,10000000.0,0.003914670002768836,178.0,2.3186470211753758e-08,0.015555556937258862,2.2518398978342494e-08,0.9,7366075.644667945,2244547.8146714377
55,4952770.545438485,11319256.705865264,4952770.545438485,0.0,10.0,12.0,1e-06,1.5,10000000.0,0.0031486303041009106,73.0,1.1351582895245811e-09,0.004433676146478105,1.956358161451384e-08,0.9,332933.5621045906,1083050.585557245
56,4985997.847272641,0.0,1354650.1148622513,3631312.848457566,28.0,4.0,1e-06,1.5,10000000.0,0.0034186133925271254,98.0,1.3132580280082297e-09,0.23873813427514717,4.583710105959296e-09,0.9,1869509.8959601212,246195.6060216122
57,4980929.816669326,0.0,3575573.753876657,1405346.5626473876,25.0,5.0,1e-06,1.5,10000000.0,0.0017692649937775607,86.0,2.2850667389588515e-09,0.251513383736232,7.116557454300089e-09,0.9,1353795.8219348732,450042.41415779974
58,4906771.785855492,0.0,4906771.785855492,0.0,8.0,1.0,1e-06,1.5,10000000.0,0.006215214276300589,70.0,6.954473790819893e-09,0.22804796825163753,1.0189375860699423e-09,0.9,331995.0096439694,254595.456721309
59,4979389.973779573,0.0,4979389.973779573,0.0,4.0,8.0,1e-06,1.5,10000000.0,0.001374001748028493,68.0,1.445066290171581e-08,0.09704176917894575,1.5291686671259725e-08,0.9,620777.6264332836,2180809.8336304887
60,4886115.989598091,0.0,4886115.989598092,0.0,4.0,6.0,1e-06,1.5,10000000.0,0.007592267360121572,61.0,2.4517364200337232e-08,0.10769106847632955,1.3094624016940563e-08,0.9,2131051.1781133693,9914056.070462799
61,4577352.667933258,3943362.0001391065,2472958.830254241,2097386.91219791,44.0,136.0,1e-06,1.5,10000000.0,0.047839894971892574,171.0,1.0212805274654124e-09,0.2615087675822341,1.4562195344683e-07,0.9,245617.25305637185,2929215.340193958
62,4845985.60243298,0.0,4845985.602432981,0.0,8.0,20.0,1e-06,1.5,10000000.0,0.010267626504467697,180.0,8.68516312161991e-09,0.17591298110297904,6.673737025836629e-09,0.9,115055.0928821079,107328.41868208989
63,4832166.300700062,0.0,4832166.300700063,0.0,13.0,302.0,1e-06,1.5,10000000.0,0.011188913286660676,157.0,1.970871190948581e-08,0.03625075492134714,2.1709687996832758e-07,0.9,2312316.024229952,136288.80025675398
64,4983902.011489696,0.0,3968496.3474567644,1015401.2543290155,27.0,3.0,1e-06,1.5,10000000.0,0.001347053094645724,104.0,1.1687125490016174e-09,0.19010417579748723,1.4057414622999927e-09,0.9,1125832.520488838,1327773.6460087353
65,4132667.1330967224,5269.309948766265,4132667.1330967224,0.0,20.0,120.0,1e-06,1.5,10000000.0,0.05782219112688529,79.0,5.5342888939267244e-08,0.012534343532903268,8.985012468752571e-08,0.9,3956436.0356140737,458231.83078627614
66,4548017.967600981,25601343.2837307,1499875.0870399927,3047994.93528001,90.0,4.0,1e-06,1.5,10000000.0,0.030402344324042256,58.0,1.5795705376061342e-09,0.2748715418662485,4.409841013386534e-09,0.9,7917998.291018702,3045989.429049999
67,3595637.868284672,0.0,3595637.868284672,0.0,6.0,107.0,1e-06,1.5,10000000.0,0.09362414211435467,181.0,2.129228399939452e-09,0.1652934935033863,6.08158797723416e-08,0.9,1270686.833578769,4828249.3102235515
68,4976144.1452074945,0.0,4976144.1452074945,0.0,10.0,10.0,1e-06,1.5,10000000.0,0.0015903903195003883,110.0,9.186515230363439e-09,0.2569410982957873,6.54990348442066e-09,0.9,159276.04238777971,185145.83668612698
69,4904563.420613889,0.0,4904563.420613889,0.0,16.0,219.0,1e-06,1.5,10000000.0,0.006362438625740644,124.0,1.9257919265696364e-09,0.2549960582133098,2.3658493719446308e-07,0.9,4146656.5230113612,9376563.640984653
70,3534219.32909607,0.0,3534219.32909607,0.0,76.0,149.0,1e-06,1.5,10000000.0,0.09771871139359518,91.0,9.524136683373725e-08,0.051172117544007266,2.7377504864094083e-08,0.9,9047440.620600455,140957.70122795136
71,4869117.714396199,136896410.26535365,4869117.714396199,0.0,14.0,701.0,1e-06,1.5,10000000.0,0.008725485706920067,180.0,2.1550796599687614e-08,0.002357850419241081,4.806810664006931e-07,0.9,2842369.8842479396,344586.470990827
72,4742110.6908191275,0.0,4742110.6908191275,0.0,9.0,22.0,1e-06,1.5,10000000.0,0.017192620612058198,157.0,3.6293391668603756e-09,0.08883444028794214,1.9215367743210903e-08,0.9,271557.36288211803,4246545.472961852
73,4984782.060048504,111.83406659629262,4984782.060048501,0.0,17.0,9.0,1e-06,1.5,10000000.0,0.0010145293300998068,197.0,4.475596518663506e-08,0.017181807575825724,2.3008039592579235e-09,0.9,2141083.6151681687,337016.0447266076
74,4978858.864964503,0.0,4978858.864964503,0.0,15.0,1004.0,1e-06,1.5,10000000.0,0.0014094090023604798,180.0,2.20533669207629e-08,0.09781235366223619,3.8893470855620663e-07,0.9,6411005.474016822,5247298.561690808
75,4648226.2529556295,7610544.12789731,4648226.2529556295,0.0,3.0,2.0,1e-06,1.5,10000000.0,0.02345158313629138,58.0,3.957822946597562e-08,0.0031891547967414667,3.225302292982373e-09,0.9,274404.8964343031,876450.6659652264
76,0.0,0.0,0.0,0.0,1.0,9.0,1e-06,1.5,10000000.0,0.03320673182433947,100.0,9.068760177090114e-08,0.021167340361166662,3.578851619521385e-08,0.9,156021.6012135123,280214.6662837808
77,4957622.188107708,15.508276856295202,4957622.188107708,0.0,6.0,11.0,1e-06,1.5,10000000.0,0.0028251874594860176,78.0,1.2245013726040958e-08,0.01746997929956937,7.982674452291149e-09,0.9,567586.7637115568,142301.12029277903
78,4971125.327996895,0.0,4971125.327996895,0.0,10.0,2.0,1e-06,1.5,10000000.0,0.0019249781335403137,190.0,2.830862946508716e-09,0.15131283367765758,1.8783139860960666e-09,0.9,101514.49804240168,443884.17374950275
79,4842334.745161014,0.0,4842334.745161014,0.0,17.0,6.0,1e-06,1.5,10000000.0,0.0105110169892657,140.0,1.4446941618639432e-09,0.1019222772336731,5.0860767060882764e-09,0.9,1859938.4964393757,949501.8098144408
80,4574411.0531380195,0.0,4574411.0531380195,0.0,9.0,68.0,1e-06,1.5,10000000.0,0.028372596457465222,161.0,3.1350424485405444e-09,0.11493796478360474,5.3334127160655313e-08,0.9,1351316.1209429414,508670.85657147743
81,4974646.526471205,0.0,4974646.526471202,0.0,35.0,66.0,1e-06,1.5,10000000.0,0.0016902315685811402,123.0,8.33605982199165e-08,0.26753938031915814,1.4751731545894767e-08,0.9,3339304.782566015,124084.66319571344
82,4940562.575398151,0.0,4940562.575398151,0.0,2.0,2.0,1e-06,1.5,10000000.0,0.003962494973456598,156.0,1.9305642753607433e-08,0.2232740478512085,1.0627620732635971e-09,0.9,336948.5870028271,1395953.1146691951
83,4895063.765129013,0.0,4895063.765129013,0.0,7.0,1.0,1e-06,1.5,10000000.0,0.006995748991399204,92.0,9.047108689813401e-09,0.06665613281245193,3.087030237630062e-09,0.9,319820.5622076995,537677.15528383
84,4119047.7983900774,0.0,4119047.7983900774,0.0,8.0,7.0,1e-06,1.5,10000000.0,0.058730146773994706,103.0,3.2153119173211425e-09,0.07434107338610393,6.507119729677009e-09,0.9,5010652.138960848,6116309.706354027
85,4455548.079049787,709752.4756973084,4455548.079049787,0.0,6.0,5.0,1e-06,1.5,10000000.0,0.036296794730014216,125.0,4.0936677329022005e-08,0.006957423914258942,6.154384017703062e-09,0.9,3064579.8111192933,1285346.4344289124
86,4162736.8110574614,0.0,4162736.8110574614,0.0,7.0,6.0,1e-06,1.5,10000000.0,0.05581754592950266,82.0,2.265068594813321e-08,0.1946768473874383,1.3883994435764703e-08,0.9,671551.1342274097,2278966.3686030074
87,3581281.8750561615,2162898.4312132155,3581281.8750561615,0.0,8.0,1.0,1e-06,1.5,10000000.0,0.09458120832958924,86.0,1.581407529813973e-08,0.005550652964229707,1.4457964774127707e-09,0.9,1330015.4292649599,1104330.9104603105
88,4657533.442828696,0.0,4657533.442828696,0.0,13.0,37.0,1e-06,1.5,10000000.0,0.022831103811420023,125.0,4.28077391668624e-09,0.2907771501439288,3.851220070282351e-08,0.9,4638801.769593627,1624272.3451255509
89,4931855.475777796,0.0,4931855.475777796,0.0,6.0,4.0,1e-06,1.5,10000000.0,0.004542968281480359,111.0,1.0733403118007398e-08,0.09356855124258462,2.375524946707097e-09,0.9,2660219.924913432,7474287.35372086
90,4981558.5449089855,0.0,4981558.5449089855,0.0,17.0,1738.0,1e-06,1.5,10000000.0,0.0012294303394009465,164.0,2.890989702992924e-08,0.14747100815197658,8.466077235447936e-07,0.9,7306651.050293475,2518427.5512683135
91,4735187.171152088,0.0,4735187.171152088,0.0,2.0,4.0,1e-06,1.5,10000000.0,0.017654188589860696,133.0,1.780711350901793e-08,0.14844475395771772,4.672236451814638e-09,0.9,278403.39134504,8204382.692019837
92,4963599.594475048,0.0,4963599.594475048,0.0,9.0,1.0,1e-06,1.5,10000000.0,0.0024266937016634888,59.0,3.1120192155341414e-08,0.2613077577372,1.63685791785277e-09,0.9,203137.16979946612,194440.14335137984
93,4868041.54227613,0.0,4868041.54227613,0.0,29.0,61.0,1e-06,1.5,10000000.0,0.008797230514924518,95.0,8.417701724899302e-08,0.14792184712952683,1.93915993938801e-08,0.9,3323110.363189694,5876296.138442821
94,4928514.0434114,0.0,4928514.0434114,0.0,27.0,282.0,1e-06,1.5,10000000.0,0.0047657304392399735,156.0,9.2491773824328e-08,0.27191740575605994,5.538017418191611e-08,0.9,5929619.508479232,842128.1833879479
95,4757450.168479755,0.0,4757450.1684797555,0.0,14.0,592.0,1e-06,1.5,10000000.0,0.01616998876799293,138.0,7.148677293498171e-09,0.0753715965787922,4.903606896485117e-07,0.9,4797517.960503275,310917.60669019324
96,4911124.586772028,0.0,4911124.586772028,0.0,5.0,106.0,1e-06,1.5,10000000.0,0.005925027548531386,126.0,1.5043892693890757e-09,0.1167330339797454,1.1048136530250836e-07,0.9,3524275.830103051,7937047.602916914
97,4630554.283210324,0.0,4630554.283210324,0.0,22.0,3147.0,1e-06,1.5,10000000.0,0.024629714452645054,187.0,2.3039395812272964e-08,0.26309815251159985,6.789530171082042e-07,0.9,5756098.416023351,773345.3230780164
98,4959179.823060815,685.7915953822314,3758647.2536139176,1200497.1327384324,23.0,249.0,1e-06,1.5,10000000.0,0.0035835411593504174,51.0,4.223146425110045e-09,0.2866953865025151,6.881287325506063e-07,0.9,7033916.782963041,140660.32504620246
99,4120920.0822831523,0.0,4120920.0822831523,0.0,8.0,5.0,1e-06,1.5,10000000.0,0.05860532784778988,193.0,7.2519005645960245e-09,0.03868748970723781,3.934964789618566e-09,0.9,335047.6986495196,2273416.8675094754
